,timeDuration,nMovements,movementsDifficulty,robotSpeech,acrobaticMovements,movementsRepetition,movementsTransitionsDuration,humanMovements,balance,speed,bodyPartsCombination,musicBPM,sameStartEndPositionPlace,headMovement,armsMovement,handsMovement,legsMovement,feetMovement,musicGenre_electronic,musicGenre_folk,musicGenre_indie,musicGenre_latin,musicGenre_pop,musicGenre_rap,musicGenre_rock
bodyPartsCombination,,,,,,,,,,,,,,,,,,,,,,,,,
musicBPM,,,,,,,,,,,,,,,,,,,,,,,,,
sameStartEndPositionPlace,0.053499692970440806,-0.15088845964069875,-0.10206207261596575,,0.12051283285008214,0.06804138174397717,0.13628975397373563,,,,,,1.0,-0.12051283285008214,0.05716619504750294,0.08908708063747478,,0.058621038176054914,0.055693239919264115,0.04516086169146875,-0.013668847191166395,-0.8449741213775074,,-0.044987741133595965,-0.033501260508640406
headMovement,0.13294018899733684,-0.08748024299638002,0.05426377719485659,,-1.0,0.07379873698500496,-0.030880897219444436,,,,,,-0.12051283285008214,1.0,-0.1112412882214932,-0.08336294190891083,,0.0012466918897427982,0.13976232588808876,0.142714595706247,-0.17045295969585816,0.07456955255924329,,0.0697062873540319,0.07053456158585983
armsMovement,0.006338077455584661,-0.049123649312410436,0.13127625787762592,,0.1112412882214932,-0.2975595178559521,0.02088870032894388,,,,,,0.05716619504750294,-0.1112412882214932,1.0,-0.045834924851410566,,-0.005026712553389208,0.03820524739262436,-0.9266800061092254,-0.12866395246502899,-0.02895772838443461,,0.10994350883266045,-0.06894502533266922
handsMovement,0.10723795788910058,0.015896392223292356,-0.9547032697824667,,0.08336294190891083,0.1272937693043289,-0.034467552353547995,,,,,,0.08908708063747478,-0.08336294190891083,-0.045834924851410566,1.0,,-0.02088950862017077,0.11163483350211854,0.013201286854762528,0.0004151310313434414,-0.042886994941142904,,-0.1073524961267814,-0.06267511942419625
legsMovement,,,,,,,,,,,,,,,,,,,,,,,,,
feetMovement,0.11884575956314461,-0.08478215822926696,0.02991492327573909,,-0.0012466918897427982,-0.03589790793088691,0.007840111415172397,,,,,,0.058621038176054914,0.0012466918897427982,-0.005026712553389208,-0.02088950862017077,,1.0,0.12406223065130396,0.01365053557972049,-0.09396852698097034,-0.4902781879616106,,0.006781443661149442,0.01767490804100673
musicGenre_electronic,0.1484767392864932,-0.14845892897021562,-0.05627325821889754,,-0.13976232588808876,-0.15347252241517512,0.029517503886924333,,,,,,0.055693239919264115,0.13976232588808876,0.03820524739262436,0.11163483350211854,,0.12406223065130396,1.0,0.01867502368569177,-0.6218960048553809,-0.13720840745542687,,-0.34954054774911736,0.1119476243463287
musicGenre_folk,-0.03989532564311641,0.0743462201262019,-0.10154668304608624,,-0.142714595706247,0.2981583459651043,-0.0255617903063167,,,,,,0.04516086169146875,0.142714595706247,-0.9266800061092254,0.013201286854762528,,0.01365053557972049,0.01867502368569177,1.0,0.054672865623356624,-0.11327461751242825,,-0.067867354204888,0.06169982059307337
