,timeDuration,nMovements,movementsDifficulty,robotSpeech,acrobaticMovements,movementsRepetition,movementsTransitionsDuration,humanMovements,balance,speed,bodyPartsCombination,musicBPM,sameStartEndPositionPlace,headMovement,armsMovement,handsMovement,legsMovement,feetMovement,musicGenre_electronic,musicGenre_folk,musicGenre_indie,musicGenre_latin,musicGenre_pop,musicGenre_rap,musicGenre_rock
bodyPartsCombination,-0.14618811865091183,,-0.8586785275411061,-0.040730532287990194,0.11831558105713097,-0.0680627666931373,0.14618811865091183,,-0.11831558105713097,0.1721055473665405,1.0,,0.05414074734342105,0.07091124173333228,-0.1721055473665405,-0.09712415288451019,,-0.013700495709737259,,,-0.024816982617510287,,0.1083101742766947,0.004082506153966162,-0.07628586094484326
musicBPM,,,,,,,,,,,,,,,,,,,,,,,,,
sameStartEndPositionPlace,0.03428788416616995,,0.03951652267457095,0.14311252468032928,0.23983853066362504,-0.1762731903298336,-0.03428788416616995,,-0.23983853066362504,0.22457675422484583,0.05414074734342105,,1.0,0.13358326509148885,-0.22457675422484583,-0.22757601925246967,,-0.05321454802410071,,,-0.14537450124961285,,-0.0014111392658428775,0.14952532394274393,-0.7580980435789033
headMovement,-0.007245182077084174,,-0.10704920086037584,0.31161895669789696,0.2548129831541738,0.011305963333558369,0.007245182077084174,,-0.2548129831541738,0.07053982594841414,0.07091124173333228,,0.13358326509148885,1.0,-0.07053982594841414,-0.07052880668318276,,-0.10629538176849748,,,-0.1365683407832741,,-0.15438455283383545,0.10836081606984906,-0.7268597685611093
armsMovement,0.06419407387663693,,0.12917697432399192,-0.24214919234076565,-0.11877268690255602,0.05422501623941844,-0.06419407387663693,,0.11877268690255602,-1.0,-0.1721055473665405,,-0.22457675422484583,-0.07053982594841414,1.0,0.22652710790418149,,0.07705660202443673,,,0.25503468321841744,,-0.00847624714642898,-0.207735188735909,0.2001601922563589
handsMovement,0.06632351409960018,,0.1291567951511243,0.06076995271412542,-0.018427365468415988,-0.08560507194614755,-0.06632351409960018,,0.018427365468415988,-0.22652710790418149,-0.09712415288451019,,-0.22757601925246967,-0.07052880668318276,0.22652710790418149,1.0,,-0.17012581298097723,,,0.1370320114893775,,-0.2493927710938014,-0.2273489731446977,0.20213021380004065
legsMovement,,,,,,,,,,,,,,,,,,,,,,,,,
feetMovement,0.06800627621363665,,-0.04928895513319508,-0.11966526107748668,-0.10716162183665584,0.1713660176714364,-0.06800627621363665,,0.10716162183665584,-0.07705660202443673,-0.013700495709737259,,-0.05321454802410071,-0.10629538176849748,0.07705660202443673,-0.17012581298097723,,1.0,,,0.1369533437542833,,0.03189532353150232,-0.7327448969402987,0.11351816907013082
musicGenre_electronic,,,,,,,,,,,,,,,,,,,,,,,,,
musicGenre_folk,,,,,,,,,,,,,,,,,,,,,,,,,
musicGenre_indie,0.21639136738568904,,-0.10317678503213902,-0.423178159245961,-0.10463391326905874,0.34943153501813806,-0.21639136738568904,,0.10463391326905874,-0.25503468321841744,-0.024816982617510287,,-0.14537450124961285,-0.1365683407832741,0.25503468321841744,0.1370320114893775,,0.1369533437542833,,,1.0,,-0.14184002392605796,-0.5843102947818539,0.1448869483117601
musicGenre_latin,,,,,,,,,,,,,,,,,,,,,,,,,
musicGenre_pop,-0.10347699729098507,,-0.14121295224441344,-0.6609659083727608,-0.1628251525187329,0.02083447386913195,0.10347699729098507,,0.1628251525187329,0.00847624714642898,0.1083101742766947,,-0.0014111392658428775,-0.15438455283383545,-0.00847624714642898,-0.2493927710938014,,0.03189532353150232,,,-0.14184002392605796,,1.0,0.04309196191874919,0.13821047472196565
musicGenre_rap,-0.17470901015591683,,0.061826925638080815,0.15235541924999008,0.09801242428617335,-0.17596805222961334,0.17470901015591683,,-0.09801242428617335,0.207735188735909,0.004082506153966162,,0.14952532394274393,0.10836081606984906,-0.207735188735909,-0.2273489731446977,,-0.7327448969402987,,,-0.5843102947818539,,0.04309196191874919,1.0,-0.17563525189389928
musicGenre_rock,-0.04111711414037298,,0.011583527431071662,-0.2725321761791502,-0.3147947764332571,0.11571175687824929,0.04111711414037298,,0.3147947764332571,-0.2001601922563589,-0.07628586094484326,,-0.7580980435789033,-0.7268597685611093,0.2001601922563589,0.20213021380004065,,0.11351816907013082,,,0.1448869483117601,,0.13821047472196565,-0.17563525189389928,1.0
