timeDuration,nMovements,movementsDifficulty,robotSpeech,acrobaticMovements,movementsRepetition,movementsTransitionsDuration,humanMovements,balance,speed,bodyPartsCombination,musicBPM,sameStartEndPositionPlace,headMovement,armsMovement,handsMovement,legsMovement,feetMovement,musicGenre_electronic,musicGenre_folk,musicGenre_indie,musicGenre_latin,musicGenre_pop,musicGenre_rap,musicGenre_rock
135.0,20.0,1.0,0.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,97.0,0.0,3.0,3.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
107.0,17.0,3.0,0.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,81.0,1.0,1.0,3.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
100.0,17.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,1.0,156.0,1.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
104.0,15.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,3.0,3.0,150.0,0.0,3.0,3.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
122.0,21.0,3.0,0.0,2.0,3.0,3.0,1.0,3.0,2.0,3.0,128.0,1.0,3.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
122.0,23.0,3.0,1.0,3.0,3.0,2.0,1.0,1.0,2.0,3.0,118.0,1.0,3.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100.0,20.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,2.0,1.0,90.0,1.0,3.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115.0,20.0,1.0,0.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,86.0,1.0,1.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
130.0,14.0,3.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,160.0,0.0,3.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
151.0,17.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,133.0,1.0,2.0,1.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
95.0,16.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,155.0,1.0,3.0,2.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
137.0,21.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,133.0,0.0,3.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
128.0,10.0,1.0,0.0,3.0,2.0,1.0,2.0,2.0,1.0,3.0,128.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
104.0,15.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,3.0,3.0,150.0,0.0,3.0,3.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
128.0,18.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,3.0,3.0,113.0,1.0,3.0,2.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
115.0,9.0,1.0,0.0,2.0,3.0,2.0,3.0,1.0,3.0,2.0,118.0,1.0,2.0,3.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
