timeDuration,nMovements,movementsDifficulty,robotSpeech,acrobaticMovements,movementsRepetition,movementsTransitionsDuration,humanMovements,balance,speed,bodyPartsCombination,musicBPM,sameStartEndPositionPlace,headMovement,armsMovement,handsMovement,legsMovement,feetMovement,musicGenre_electronic,musicGenre_folk,musicGenre_indie,musicGenre_latin,musicGenre_pop,musicGenre_rap,musicGenre_rock
120.0,20.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,110.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
115.0,18.0,2.0,1.0,3.0,3.0,2.0,1.0,3.0,1.0,1.0,133.0,0.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
125.0,20.0,3.0,0.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,128.0,0.0,2.0,3.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
122.0,12.0,2.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,103.0,0.0,3.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
109.0,13.0,1.0,0.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,153.0,0.0,2.0,2.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
130.0,20.0,3.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,119.0,0.0,3.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
113.0,19.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,104.0,1.0,3.0,2.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
100.0,19.0,1.0,0.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,110.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
126.0,24.0,2.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,2.0,127.0,0.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
118.0,20.0,1.0,1.0,3.0,3.0,2.0,1.0,2.0,3.0,2.0,126.0,1.0,1.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
111.0,23.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,110.0,0.0,2.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101.0,21.0,3.0,1.0,2.0,1.0,2.0,3.0,1.0,3.0,1.0,136.0,0.0,2.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
111.0,10.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,3.0,133.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
145.0,17.0,2.0,0.0,2.0,3.0,1.0,1.0,2.0,3.0,3.0,148.0,0.0,1.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
115.0,14.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,92.0,0.0,3.0,1.0,2.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
105.0,20.0,1.0,0.0,1.0,3.0,2.0,1.0,1.0,2.0,3.0,109.0,1.0,3.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
