,timeDuration,nMovements,movementsDifficulty,robotSpeech,acrobaticMovements,movementsRepetition,movementsTransitionsDuration,humanMovements,balance,speed,bodyPartsCombination,musicBPM,sameStartEndPositionPlace,headMovement,armsMovement,handsMovement,legsMovement,feetMovement,musicGenre_electronic,musicGenre_folk,musicGenre_indie,musicGenre_latin,musicGenre_pop,musicGenre_rap,musicGenre_rock
timeDuration,,,,,,,,,,,,,,,,,,,,,,,,,
nMovements,,,,,,,,,,,,,,,,,,,,,,,,,
armsMovement,,,-0.026141261122357866,,-0.11664236870396087,0.026141261122357866,,0.05183389377215482,0.25717224993681986,-1.0,0.09799919151000505,,-0.2613866510869666,0.11289674382629772,1.0,,-0.09799919151000505,-0.09203705160814193,,-0.008586898925366368,,0.10639699118922724,0.008586898925366368,,-0.08977161855789355
handsMovement,,,,,,,,,,,,,,,,,,,,,,,,,
legsMovement,,,0.005230387512379454,,0.18378676102867628,-0.005230387512379454,,-0.10981072254787336,-0.10474860787994063,0.09799919151000505,-1.0,,0.12021904587984775,-0.18896207991257136,-0.09799919151000505,,1.0,0.04452564717687393,,-0.04123394846093773,,0.006904245090086874,0.04123394846093773,,-0.0004345562055662183
feetMovement,,,-0.20802217302574752,,-0.09460788905446331,0.20802217302574752,,-0.6027142073321696,0.013155933564467754,0.09203705160814193,-0.04452564717687393,,-0.015994648278056394,0.09461534447981759,-0.09203705160814193,,0.04452564717687393,1.0,,-0.14796544045027077,,-0.40473021752555366,0.14796544045027077,,0.14662048971115685
musicGenre_electronic,,,,,,,,,,,,,,,,,,,,,,,,,
musicGenre_folk,,,0.15195116490285998,,-0.008179702548889205,-0.15195116490285998,,-0.08296173369357354,0.11336002198631517,0.008586898925366368,0.04123394846093773,,-0.13378584793296636,0.019488087583068924,-0.008586898925366368,,-0.04123394846093773,-0.14796544045027077,,1.0,,0.2444057522081296,-1.0,,-0.2006390610755956
musicGenre_indie,,,,,,,,,,,,,,,,,,,,,,,,,
musicGenre_latin,,,0.07039408615324749,,0.040266707267245266,-0.07039408615324749,,-0.2004368184982873,-0.030645836043918562,-0.10639699118922724,-0.006904245090086874,,0.01769775204443375,-0.030518150867206408,0.10639699118922724,,0.006904245090086874,-0.40473021752555366,,0.2444057522081296,,1.0,-0.2444057522081296,,-0.882150515654013
musicGenre_pop,,,-0.15195116490285998,,0.008179702548889205,0.15195116490285998,,0.08296173369357354,-0.11336002198631517,-0.008586898925366368,-0.04123394846093773,,0.13378584793296636,-0.019488087583068924,0.008586898925366368,,0.04123394846093773,0.14796544045027077,,-1.0,,-0.2444057522081296,1.0,,0.2006390610755956
musicGenre_rap,,,,,,,,,,,,,,,,,,,,,,,,,
musicGenre_rock,,,0.050282550464177234,,-0.023585475505750294,-0.050282550464177234,,0.19880342874054477,0.021165354146212845,0.08977161855789355,0.0004345562055662183,,-0.010115454845786345,0.01553912613886518,-0.08977161855789355,,-0.0004345562055662183,0.14662048971115685,,-0.2006390610755956,,-0.882150515654013,0.2006390610755956,,1.0
